;pergunta;resposta
0;Quando a FURIA Esports foi fundada?;"Agosto de 2017"
1;Quem são os fundadores da FURIA Esports?;"Jaime Pádua, André Akkari e Cris Guedes"
2;Qual é a sede principal da FURIA Esports?;"São Paulo, Brasil"
3;Em quais jogos a FURIA possui equipes competitivas?;"Counter-Strike 2, League of Legends, Valorant, Rainbow Six: Siege, Rocket League, Apex Legends e Futebol 7"
4;Qual é o nome completo do jogador 'FalleN' da FURIA?;"Gabriel Toledo de Alcântara Sguario"
5;Qual é o nome completo do jogador 'KSCERATO' da FURIA?;"Kaike Silva Cerato"
6;Qual é o nome completo do jogador 'yuurih' da FURIA?;"Yuri Gomes dos Santos Boian"
7;Qual é o nome completo do jogador 'YEKINDAR' da FURIA?;"Mareks Gaļinskis"
8;Qual é o nome completo do jogador 'molodoy' da FURIA?;"Danil Golubenko"
9;Qual é o nome completo do jogador 'Sidde' da FURIA?;"Sidnei Macedo Pereira Filho"
10;Qual é o nome do treinador principal da equipe de CS2 da FURIA?;"Sidnei Macedo (Sidde)"
11;Quantos torneios a equipe de CS2 da FURIA já participou?;"129 torneios"
12;Qual é o recorde de espectadores da FURIA em um torneio de CS2?;"1.428.993 espectadores no IEM Rio Major 2022"
13;Qual é o valor total em prêmios ganhos pela equipe de CS2 da FURIA?;"$2.283.872"
14;Qual é a posição atual da FURIA no ranking mundial de CS2?;"16ª posição"
15;Em que ano a FURIA entrou no cenário de Valorant?;"2021"
16;Quem são os jogadores atuais da equipe de Valorant da FURIA?;"raafa, heat, havoc, Khalil e pryze"
17;Quem é o treinador principal da equipe de Valorant da FURIA?;"Pedro Lopes (peu)"
18;Em que ano a FURIA entrou no cenário de League of Legends?;"2019"
19;Qual equipe a FURIA adquiriu para entrar no CBLOL?;"Uppercut Esports"
20;Em que ano a FURIA entrou no cenário de Rainbow Six: Siege?;"2020"
21;Quem são os jogadores atuais da equipe de Rainbow Six: Siege da FURIA?;"kheyze, Jv92, FelipoX, HerdsZ e nade"
22;Quem é o treinador principal da equipe de Rainbow Six: Siege da FURIA?;"Igoorctg"
23;Em que ano a FURIA entrou no cenário de Rocket League?;"2021"
24;Qual foi a melhor colocação da FURIA no Rocket League Championship Series?;"3º-4º lugar no Mundial de 2021-22"
25;Em que ano a FURIA entrou no cenário de Apex Legends?;"2021"
26;Qual foi a primeira equipe de Apex Legends contratada pela FURIA?;"2 Brains 1 Controller"
27;Quem são os fundadores da FURIA Esports?;"Jaime Pádua, André Akkari e Cris Guedes"
28;Qual é o nome do CEO da FURIA Esports?;"Jaime Pádua"
29;Quais são os principais patrocinadores da FURIA?;"Cruzeiro do Sul, PokerStars, Red Bull, Hellmann's, Betnacional e Lenovo"
30;Em que ano a FURIA foi eleita a melhor organização de e-sports no Prêmio eSports Brasil?;"2020 e 2021"
31;Qual foi a posição da FURIA no ranking das maiores organizações de e-sports do mundo em 2022?;"5ª posição"
32;Em que ano a FURIA estreou no Futebol 7?;"2024"
33;Quem são os presidentes da equipe de Futebol 7 da FURIA?;"Cris Guedes e Neymar"
34;Em que ano a FURIA anunciou sua entrada na Porsche Cup Brasil?;"2025"
35;Quem são os pilotos da FURIA na Porsche Cup Brasil?;"Caio Castro e Matheus Comparatto"
36;Qual é o nome do site oficial da FURIA?;"https://www.furia.gg/"
37;Qual é o nome do jogador 'heat' da equipe de Valorant da FURIA?;"Olavo Marcelo"
